date,station,depth,op,mean_sst,mean_airt,SSM,SST,year,doy,Station,Depth (cm),bulk,Sand,Silt,Clay,Classification,index,VH,VV,angle,lc,BASE_TEMP,cum_GDD_air,cum_GDD_soil,cum_GDD,BBCH,cum_SSM,d,c,w,vvv,vvs,s,l,rvi
2015-04-25,MB1,0 to 5 cm,0,10.185,7.835000000000001,0.13,14.97777777777778,2015,115,MB1,5,1.28,0.7879999999999999,0.1009999999999999,0.111,Sandy Loam,0,-20.0,-13.0,40.0,146,5,2.835000000000001,5.184999999999999,4.01,0.0,0.13,0.5422175037381217,0.22296331497242924,0.03839459373393453,-15.194094165319791,-17.01624891999126,0.002822794862638237,0.075,0.6653501232662477
2015-04-25,MB10,0 to 5 cm,0,7.5,7.839999999999999,0.4322222222222222,12.633333333333333,2015,115,MB10,5,1.05,0.0455,0.24,0.716,Heavy Clay,0,-27.0,-20.0,43.0,146,5,5.675,7.684999999999999,6.68,0.0,0.5622222222222222,0.5422313531540434,0.29959739997043183,0.016298378427313888,-22.695383363001532,-23.3498496916401,0.0008546717118518097,0.075,0.6653501232662474
2015-04-25,MB11,0 to 5 cm,0,8.635,8.379999999999999,0.2722222222222222,12.577777777777778,2015,115,MB11,5,1.3,0.238,0.395,0.368,Clay Loam,0,-22.0,-14.0,42.0,158,10,5.675,7.684999999999999,6.68,0.0,0.8344444444444445,0.22986432602066584,0.38789974103625785,0.0001628368736792128,-17.819666777405978,-16.328336532005675,0.002806373998879093,0.075,0.5472275544128398
2015-04-25,MB12,0 to 5 cm,0,5.35,8.014999999999999,0.31,14.266666666666666,2015,115,MB12,5,1.33,0.421,0.417,0.162,Loam,0,-22.0,-12.0,42.0,146,5,8.689999999999998,8.034999999999998,8.362499999999997,0.0,1.1444444444444444,0.300335596641595,0.29500805185455736,0.0003078687658509088,-15.625036016820559,-14.471886824174158,0.0033106230735906795,0.075,0.3636363636363635
2015-04-25,MB2,0 to 5 cm,0,13.265,8.305,0.34,15.955555555555556,2015,115,MB2,5,1.35,0.449,0.208,0.3429999999999999,Clay Loam,0,-19.0,-9.0,40.0,146,5,11.994999999999996,16.299999999999997,14.147499999999996,0.0,1.4844444444444445,0.3008590631728251,0.23513610690394435,0.0002981802559144556,-12.331738017541035,-11.71102202376121,0.004551044430822356,0.075,0.3636363636363637
2015-04-25,MB3,0 to 5 cm,0,8.715,9.004999999999999,0.27,12.766666666666667,2015,115,MB3,5,1.47,0.471,0.211,0.318,Sandy Clay Loam,0,-22.0,-13.0,40.0,158,10,11.994999999999996,16.299999999999997,14.147499999999996,0.0,1.7544444444444445,0.1891646891266386,0.44215401637353813,0.017262654181301587,-16.42725715602835,-15.629890672122944,0.0027286063639426553,0.075,0.4472630791124677
2015-04-25,MB4,0 to 5 cm,0,11.6665,7.984999999999999,0.0891111111111111,16.41111111111111,2015,115,MB4,5,1.33,0.904,0.002,0.094,Sand,0,-22.0,-17.0,40.0,147,10,11.994999999999996,17.966499999999996,14.980749999999995,0.0,1.843555555555556,0.9709870740142894,0.23256451234186173,0.037918219946031756,-17.215732341729716,-30.146110202424012,0.0005229174475388954,0.075,0.9610122934081682
2015-04-25,MB5,0 to 5 cm,0,9.2,7.885000000000001,0.1711111111111111,13.81111111111111,2015,115,MB5,5,1.46,0.414,0.181,0.405,Clay,0,-21.0,-11.0,40.0,136,5,14.88,22.1665,18.52325,0.0,2.014666666666667,0.30121550086748444,0.2956627906625414,0.0014545178654589183,-14.436631193931364,-13.622104355404396,0.00470238820773639,0.075,0.36363636363636365
2015-04-25,MB6,0 to 5 cm,0,8.85,8.545,0.21,13.622222222222222,2015,115,MB6,5,1.21,0.037,0.246,0.7170000000000001,Heavy Clay,0,-19.0,-14.0,40.0,153,5,18.425,26.0165,22.220749999999995,0.0,2.224666666666667,0.3943736636638092,0.19640093045852955,0.05617223657706241,-15.78920423680983,-18.715176231660642,0.00235047555085417,0.075,0.9610122934081685
2015-04-25,MB7,0 to 5 cm,0,10.2,8.43,0.1711111111111111,14.922222222222224,2015,115,MB7,5,1.4,0.7829999999999999,0.092,0.125,Sandy Loam,0,-20.0,-11.0,40.0,158,10,18.425,26.2165,22.32075,0.0,2.395777777777778,0.18928483733252627,0.42335053615117635,0.014632985099604581,-14.310480269576555,-13.729533208102783,0.004037112644890257,0.075,0.44726307911246793
2015-04-25,MB8,0 to 5 cm,0,8.65,7.989999999999999,0.3288888888888889,14.1,2015,115,MB8,5,1.22,0.036,0.332,0.632,Heavy Clay,0,-20.0,-15.0,40.0,158,10,18.425,26.2165,22.32075,0.0,2.724666666666667,0.3943698827773024,0.2514257162585746,0.044639073889502036,-17.088699696910336,-19.181657430177076,0.0016859603610776398,0.075,0.9610122934081686
2015-04-25,MB9,0 to 5 cm,0,10.15,7.674999999999999,0.1444444444444444,15.177777777777775,2015,115,MB9,5,1.53,0.813,0.06,0.127,Sandy Loam,0,-22.0,-12.0,40.0,147,10,18.425,26.3665,22.39575,0.0,2.869111111111111,0.373781239706114,0.20972605142519013,0.00026356626877758224,-15.562739722833552,-14.520268697249392,0.0037314297790348254,0.075,0.3636363636363635
2015-05-07,MB1,0 to 5 cm,0,8.415000000000001,8.735,0.18,6.677777777777778,2015,127,MB1,5,1.28,0.7879999999999999,0.1009999999999999,0.111,Sandy Loam,1,-18.0,-12.0,40.0,146,5,22.16,29.7815,25.97075,0.0,3.0491111111111118,0.6523975636866036,0.2585454650540026,0.0342051257119072,-14.746007229976266,-15.291724590963991,0.0031499698343699185,0.075,0.8030400356524069
2015-05-07,MB10,0 to 5 cm,0,9.065,8.889999999999999,0.4577777777777778,7.454444444444444,2015,127,MB10,5,1.05,0.0455,0.24,0.716,Heavy Clay,1,-24.0,-12.0,43.0,146,5,26.05,33.8465,29.94825,0.0,3.5068888888888887,0.20058725923043774,0.4724727529645448,0.03559301664713774,-15.070750558817297,-14.95067924420551,0.00275403165480958,0.075,0.23740377241107044
2015-05-07,MB11,0 to 5 cm,0,7.414999999999999,8.185,0.3377777777777778,5.907777777777778,2015,127,MB11,5,1.3,0.238,0.395,0.368,Clay Loam,1,-18.0,-9.0,42.0,158,10,26.05,33.8465,29.94825,0.0,3.844666666666667,0.18919730210770652,0.38899183055518244,0.004716736218597001,-12.387401583494825,-11.663342374022108,0.005177335077760841,0.075,0.4472630791124678
2015-05-07,MB12,0 to 5 cm,0,9.55,7.85,0.33,9.248333333333331,2015,127,MB12,5,1.33,0.421,0.417,0.162,Loam,1,-17.0,-10.0,42.0,146,5,28.9,38.3965,33.648250000000004,0.0,4.174666666666667,0.5422320698096524,0.2749890397225334,0.02513976955412436,-13.290941532595077,-12.746697940523697,0.004211751193298357,0.075,0.6653501232662477
2015-05-07,MB2,0 to 5 cm,0,13.55,9.3,0.35,12.588888888888889,2015,127,MB2,5,1.35,0.449,0.208,0.3429999999999999,Clay Loam,1,-19.0,-9.0,40.0,146,5,33.2,46.9465,40.07325,0.0,4.524666666666667,0.3010110439594815,0.20831482145940455,0.00033572704288326537,-12.3035956724806,-11.735564767952713,0.004471414958524829,0.075,0.3636363636363637
2015-05-07,MB3,0 to 5 cm,0,8.715,9.16,0.3,7.474444444444444,2015,127,MB3,5,1.47,0.471,0.211,0.318,Sandy Clay Loam,1,-20.0,-9.0,40.0,158,10,33.2,46.9465,40.07325,0.0,4.824666666666666,0.12749675552904205,0.11797953167295719,0.06586974971459876,-11.877566468584673,-12.147218421833017,0.004442213872028529,0.075,0.2943502244702941
2015-05-07,MB4,0 to 5 cm,0,9.235,8.870000000000001,0.151111111111111,7.9944444444444445,2015,127,MB4,5,1.33,0.904,0.002,0.094,Sand,1,-20.0,-15.0,40.0,147,10,33.2,46.9465,40.07325,0.0,4.975777777777778,0.970997304985164,0.25422314636483045,0.040902622919394505,-16.246914025522507,-21.028028397727738,0.00141355632190853,0.075,0.9610122934081686
2015-05-07,MB5,0 to 5 cm,0,8.55,8.92,0.23,7.045555555555556,2015,127,MB5,5,1.46,0.414,0.181,0.405,Clay,1,-19.0,-11.0,40.0,136,5,37.12,50.4965,43.80825,0.0,5.205777777777778,0.4477209927679567,0.2160956526272582,0.04293194407901401,-13.627187307151846,-14.430507572547317,0.003574193753854717,0.075,0.5472275544128402
2015-05-07,MB6,0 to 5 cm,0,8.315,8.655,0.2355555555555555,7.2666666666666675,2015,127,MB6,5,1.21,0.037,0.246,0.7170000000000001,Heavy Clay,1,-19.0,-11.0,40.0,153,5,40.775,53.8115,47.29325,0.0,5.441333333333334,0.22914121650548175,0.29518419737012525,0.00011727163753113155,-14.486899589500158,-13.580869169768015,0.004654766699930604,0.075,0.5472275544128402
2015-05-07,MB7,0 to 5 cm,0,8.615,8.86,0.21,7.178888888888888,2015,127,MB7,5,1.4,0.7829999999999999,0.092,0.125,Sandy Loam,1,-18.0,-12.0,40.0,158,10,40.775,53.8115,47.29325,0.0,5.6513333333333335,0.3311728491278943,0.21799972181198404,0.053325614204645454,-14.367820364744894,-15.76460835005824,0.0027257646682205977,0.07020792182668488,0.8030400356524069
2015-05-07,MB8,0 to 5 cm,0,8.665000000000001,8.775,0.3433333333333333,7.592222222222222,2015,127,MB8,5,1.22,0.036,0.332,0.632,Heavy Clay,1,-19.0,-12.0,40.0,158,10,40.775,53.8115,47.29325,0.0,5.994666666666666,0.2760845179903998,0.1920409888142239,0.06043400727295479,-14.425723207922418,-15.685985337407985,0.0027110228759312186,0.0761427910010673,0.6653501232662477
2015-05-07,MB9,0 to 5 cm,0,8.7,8.835,0.18,6.873333333333333,2015,127,MB9,5,1.53,0.813,0.06,0.127,Sandy Loam,1,-21.0,-13.0,40.0,147,10,40.775,53.8115,47.29325,0.0,6.174666666666667,0.557170213246406,0.2516054028130117,0.026726334279152265,-15.493022484689083,-16.59762638593629,0.002509645649504374,0.075,0.54722755441284
2015-05-19,MB1,0 to 5 cm,0,10.7165,8.55,0.1422222222222222,18.88888888888889,2015,139,MB1,5,1.28,0.7879999999999999,0.1009999999999999,0.111,Sandy Loam,2,-17.0,-10.0,40.0,146,5,44.325,59.528,51.9265,0.0,6.316888888888889,0.5422286860865396,0.22312238920540595,0.039086977204754424,-12.790951869324656,-13.241318663744908,0.004783037590707858,0.075,0.6653501232662477
2015-05-19,MB10,0 to 5 cm,0,7.984999999999999,6.995,0.4600000000000001,11.622222222222224,2015,139,MB10,5,1.05,0.0455,0.24,0.716,Heavy Clay,2,-23.0,-11.0,43.0,146,5,46.32,62.513,54.4165,0.0,6.776888888888889,0.20058325749819364,0.46765187649409556,0.03408659077628494,-14.09065833418853,-13.931401494036994,0.0032176795638519605,0.075,0.23740377241107052
2015-05-19,MB11,0 to 5 cm,0,9.1,6.7,0.33,13.288888888888888,2015,139,MB11,5,1.3,0.238,0.395,0.368,Clay Loam,2,-16.0,-7.0,42.0,158,10,46.32,62.513,54.4165,0.0,7.106888888888889,0.18985811210354425,0.3229543039010485,3.869323924350733e-05,-10.291957677713025,-9.745801676930384,0.007442604940041623,0.075,0.44726307911246765
2015-05-19,MB12,0 to 5 cm,0,7.115,5.705,0.33,15.705555555555554,2015,139,MB12,5,1.33,0.421,0.417,0.162,Loam,2,-19.0,-10.0,42.0,146,5,47.025,64.628,55.8265,0.0,7.436888888888889,0.36771409886453704,0.2442416242357421,0.026100647543481657,-13.076927179646262,-12.944679468813163,0.004078985274227896,0.075,0.4472630791124679
